BHK,Total Area,Price,bedroom
2 BHK Apartment in Kamothe,"1,020 sq.ft.
(95 sq.m.) Super built-up Area","₹ 80 L
₹ 7,843/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 7 Kharghar,"1,200 sq.ft.
(111 sq.m.) Super built-up Area","₹ 1.28 Cr
₹ 10,666/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 34 Kamothe,"1,010 sq.ft.
(94 sq.m.) Super built-up Area","₹ 73 L
₹ 7,227/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 11 Kamothe,"633 sq.ft.
(59 sq.m.) Super built-up Area","₹ 45 L
₹ 7,109/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector 22 Kamothe,"681 sq.ft.
(63 sq.m.) Super built-up Area","₹ 52 L
₹ 7,635/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector-35G Kharghar,"1,150 sq.ft.
(107 sq.m.) Super built-up Area","₹ 90 L
₹ 7,826/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Seawoods,"1,742 sq.ft.
(162 sq.m.) Built-up Area","₹ 3.75 Cr
₹ 21,526/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector 20 Kharghar,"750 sq.ft.
(70 sq.m.) Built-up Area","₹ 72 L
₹ 9,600/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector-34A Kharghar,"1,660 sq.ft.
(154 sq.m.) Super built-up Area","₹ 1.3 Cr
₹ 7,831/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Sector-27 Kharghar,"1,450 sq.ft.
(135 sq.m.) Super built-up Area","₹ 2.05 Cr
₹ 14,137/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Kharghar,"1,200 sq.ft.
(111 sq.m.) Super built-up Area","₹ 82 L
₹ 6,833/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 2 Kharghar,"1,100 sq.ft.
(102 sq.m.) Super built-up Area","₹ 1.25 Cr
₹ 11,363/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 20 Kharghar,"1,200 sq.ft.
(111 sq.m.) Super built-up Area","₹ 1.4 Cr
₹ 11,666/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 21 Kharghar,"1,250 sq.ft.
(116 sq.m.) Built-up Area","₹ 1.25 Cr
₹ 10,000/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Kalamboli,"1,089 sq.ft.
(101 sq.m.) Super built-up Area","₹ 79 L
₹ 7,254/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-35D Kharghar,"1,120 sq.ft.
(104 sq.m.) Super built-up Area","₹ 1.1 Cr
₹ 9,821/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 7 Kharghar,"1,230 sq.ft.
(114 sq.m.) Super built-up Area","₹ 1.65 Cr
₹ 13,414/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 19 Kharghar,"900 sq.ft.
(84 sq.m.) Super built-up Area","₹ 75 L
₹ 8,333/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 34 Kamothe,"1,020 sq.ft.
(95 sq.m.) Super built-up Area","₹ 74 L
₹ 7,254/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Kamothe,"680 sq.ft.
(63 sq.m.) Super built-up Area","₹ 53 L
₹ 7,794/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector 36 Kamothe,"671 sq.ft.
(62 sq.m.) Super built-up Area","₹ 55 L
₹ 8,196/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector 34 Kamothe,"1,143 sq.ft.
(106 sq.m.) Super built-up Area","₹ 1.07 Cr
₹ 9,361/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-35G Kharghar,"1,160 sq.ft.
(108 sq.m.) Super built-up Area","₹ 95 L
₹ 8,189/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-23 Kharghar,"1,120 sq.ft.
(104 sq.m.) Super built-up Area","₹ 1.95 Cr
₹ 17,410/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector-23 Kharghar,"2,030 sq.ft.
(189 sq.m.) Super built-up Area","₹ 3.25 Cr
₹ 16,009/sq.ft.","3 BHK
3 Baths"
1 BHK Apartment in Sector 22 Kamothe,"690 sq.ft.
(64 sq.m.) Super built-up Area","₹ 55 L
₹ 7,971/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector 20 Kharghar,"1,250 sq.ft.
(116 sq.m.) Super built-up Area","₹ 1.04 Cr
₹ 8,320/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Kharghar,"600 sq.ft.
(56 sq.m.) Built-up Area","₹ 39 L
₹ 6,500/sq.ft.","1 BHK
1 Bath"
3 BHK Apartment in Sector-35G Kharghar,"1,525 sq.ft.
(142 sq.m.) Super built-up Area","₹ 1.65 Cr
₹ 10,819/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector-35G Kharghar,"1,250 sq.ft.
(116 sq.m.) Super built-up Area","₹ 1 Cr
₹ 8,000/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 35I Kharghar,"1,090 sq.ft.
(101 sq.m.) Super built-up Area","₹ 89 L
₹ 8,165/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 10 Kharghar,"1,150 sq.ft.
(107 sq.m.) Super built-up Area","₹ 1.15 Cr
₹ 10,000/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector-6 Kharghar,"675 sq.ft.
(63 sq.m.) Super built-up Area","₹ 70 L
₹ 10,370/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Kharghar,"650 sq.ft.
(60 sq.m.) Carpet Area","₹ 47 L
₹ 7,230/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Kharghar,"745 sq.ft.
(69 sq.m.) Super built-up Area","₹ 60 L
₹ 8,053/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector 19 Kharghar,"810 sq.ft.
(75 sq.m.) Built-up Area","₹ 1.25 Cr
₹ 15,432/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector-37 Taloja,"1,700 sq.ft.
(158 sq.m.) Super built-up Area","₹ 1.6 Cr
₹ 9,411/sq.ft.","3 BHK
3 Baths"
5 BHK Apartment in Sector 19 Kharghar,"2,990 sq.ft.
(278 sq.m.) Super built-up Area","₹ 4.5 Cr
₹ 15,050/sq.ft.","5 BHK
5 Baths"
2 BHK Apartment in Kopara,"1,251 sq.ft.
(116 sq.m.) Built-up Area","₹ 1.17 Cr
₹ 9,352/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-6A Kamothe,"1,134 sq.ft.
(105 sq.m.) Super built-up Area","₹ 90 L
₹ 7,936/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 34 Kamothe,"1,010 sq.ft.
(94 sq.m.) Super built-up Area","₹ 71 L
₹ 7,029/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector-35D Kharghar,"1,685 sq.ft.
(157 sq.m.) Super built-up Area","₹ 1.47 Cr
₹ 8,724/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector-35G Kharghar,"1,110 sq.ft.
(103 sq.m.) Super built-up Area","₹ 93 L
₹ 8,378/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 4 Kharghar,"1,175 sq.ft.
(109 sq.m.) Super built-up Area","₹ 1.26 Cr
₹ 10,723/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector-20 Roadpali,"725 sq.ft.
(67 sq.m.) Super built-up Area","₹ 45 L
₹ 6,206/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Roadpali,"650 sq.ft.
(60 sq.m.) Carpet Area","₹ 50 L
₹ 7,692/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Roadpali,"1,139 sq.ft.
(106 sq.m.) Super built-up Area","₹ 92 L
₹ 8,077/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector 34 Kamothe,"1,310 sq.ft.
(122 sq.m.) Super built-up Area","₹ 98 L
₹ 7,480/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector 11 Kharghar,"820 sq.ft.
(76 sq.m.) Carpet Area","₹ 95 L
₹ 11,585/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-13 Kharghar,"1,100 sq.ft.
(102 sq.m.) Built-up Area","₹ 1.45 Cr
₹ 13,181/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Panvel,"1,200 sq.ft.
(111 sq.m.) Built-up Area","₹ 73 L
₹ 6,083/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Kharghar,"1,150 sq.ft.
(107 sq.m.) Built-up Area","₹ 1.05 Cr
₹ 9,130/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector 2 Kharghar,"1,300 sq.ft.
(121 sq.m.) Built-up Area","₹ 1.65 Cr
₹ 12,692/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector 36 Kharghar,"1,170 sq.ft.
(109 sq.m.) Super built-up Area","₹ 94 L
₹ 8,034/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 18 Kamothe,"656 sq.ft.
(61 sq.m.) Super built-up Area","₹ 42 L
₹ 6,402/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Kharghar,"711 sq.ft.
(66 sq.m.) Super built-up Area","₹ 55 L
₹ 7,735/sq.ft.","1 BHK
1 Bath"
3 BHK Apartment in Sector-35D Kharghar,"1,680 sq.ft.
(156 sq.m.) Super built-up Area","₹ 1.45 Cr
₹ 8,630/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector 36 Kharghar,"840 sq.ft.
(78 sq.m.) Carpet Area","₹ 1.07 Cr
₹ 12,738/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-35E Kharghar,"830 sq.ft.
(77 sq.m.) Carpet Area","₹ 1.25 Cr
₹ 15,060/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-35E Kharghar,"830 sq.ft.
(77 sq.m.) Carpet Area","₹ 1.25 Cr
₹ 15,060/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector 20 Kharghar,"1,700 sq.ft.
(158 sq.m.) Super built-up Area","₹ 1.52 Cr
₹ 8,941/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector 2 Kharghar,"1,300 sq.ft.
(121 sq.m.) Built-up Area","₹ 1.45 Cr
₹ 11,153/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Kharghar,"1,165 sq.ft.
(108 sq.m.) Built-up Area","₹ 1.4 Cr
₹ 12,017/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 20 Kamothe,"1,050 sq.ft.
(98 sq.m.) Super built-up Area","₹ 91 L
₹ 8,666/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 20 Kharghar,"600 sq.ft.
(56 sq.m.) Super built-up Area","₹ 61 L
₹ 10,166/sq.ft.","1 BHK
1 Bath"
3 BHK Apartment in Sector 20 Kharghar,"1,395 sq.ft.
(130 sq.m.) Super built-up Area","₹ 1.7 Cr
₹ 12,186/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Kharghar,"1,251 sq.ft.
(116 sq.m.) Super built-up Area","₹ 1.05 Cr
₹ 8,393/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 10 Kharghar,"950 sq.ft.
(88 sq.m.) Built-up Area","₹ 80 L
₹ 8,421/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 15 Kharghar,"1,251 sq.ft.
(116 sq.m.) Super built-up Area","₹ 1.3 Cr
₹ 10,391/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector 15 Kharghar,"1,960 sq.ft.
(182 sq.m.) Super built-up Area","₹ 1.7 Cr
₹ 8,673/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Sector 15 Kharghar,"1,475 sq.ft.
(137 sq.m.) Super built-up Area","₹ 1.56 Cr
₹ 10,576/sq.ft.","3 BHK
3 Baths"
4 BHK Apartment in Sector 21 Kharghar,"2,000 sq.ft.
(186 sq.m.) Built-up Area","₹ 40,000
₹ 20/sq.ft.","4 BHK
4 Baths"
2 BHK Apartment in Sector 3 Kharghar,"1,150 sq.ft.
(107 sq.m.) Built-up Area","₹ 90 L
₹ 7,826/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 18 Kamothe,"1,052 sq.ft.
(98 sq.m.) Super built-up Area","₹ 74 L
₹ 7,034/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 34 Kamothe,"1,144 sq.ft.
(106 sq.m.) Super built-up Area","₹ 1.15 Cr
₹ 10,052/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector 12 Kharghar,"1,500 sq.ft.
(139 sq.m.) Built-up Area","₹ 1.37 Cr
₹ 9,133/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Sector 12 Kharghar,"1,645 sq.ft.
(153 sq.m.) Built-up Area","₹ 2.05 Cr
₹ 12,462/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Sector-35G Kharghar,"1,395 sq.ft.
(130 sq.m.) Super built-up Area","₹ 1.45 Cr
₹ 10,036/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector-35G Kharghar,"724 sq.ft.
(67 sq.m.) Carpet Area","₹ 1.05 Cr
₹ 14,502/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 10 Kharghar,"1,175 sq.ft.
(109 sq.m.) Built-up Area","₹ 1.1 Cr
₹ 9,361/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Kharghar,"1,050 sq.ft.
(98 sq.m.) Super built-up Area","₹ 90 L
₹ 8,571/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 20 Kharghar,"565 sq.ft.
(52 sq.m.) Carpet Area","₹ 81 L
₹ 14,336/sq.ft.","2 BHK
2 Baths"
4 BHK Apartment in Kharghar,"3,295 sq.ft.
(306 sq.m.) Super built-up Area","₹ 3.7 Cr
₹ 11,229/sq.ft.","4 BHK
4 Baths"
1 BHK Apartment in Sector 34 Kamothe,"650 sq.ft.
(60 sq.m.) Super built-up Area","₹ 45 L
₹ 6,923/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector-13 Kharghar,"1,150 sq.ft.
(107 sq.m.) Built-up Area","₹ 1.45 Cr
₹ 12,608/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector-36 Kharghar,"1,500 sq.ft.
(139 sq.m.) Built-up Area","₹ 1.58 Cr
₹ 10,533/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector 36 Kharghar,"1,100 sq.ft.
(102 sq.m.) Built-up Area","₹ 85 L
₹ 7,727/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 7 Kharghar,"1,100 sq.ft.
(102 sq.m.) Super built-up Area","₹ 1.3 Cr
₹ 11,818/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 7 Kharghar,"1,000 sq.ft.
(93 sq.m.) Super built-up Area","₹ 95 L
₹ 9,500/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 20 Kharghar,"990 sq.ft.
(92 sq.m.) Super built-up Area","₹ 85 L
₹ 8,585/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 35I Kharghar,"705 sq.ft.
(66 sq.m.) Super built-up Area","₹ 63 L
₹ 8,936/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector 34 Kamothe,"1,140 sq.ft.
(106 sq.m.) Super built-up Area","₹ 1.06 Cr
₹ 9,298/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Kharghar,"1,145 sq.ft.
(106 sq.m.) Super built-up Area","₹ 1.05 Cr
₹ 9,170/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 7 Kharghar,"650 sq.ft.
(60 sq.m.) Built-up Area","₹ 65 L
₹ 10,000/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector 16 Vashi,"900 sq.ft.
(84 sq.m.) Carpet Area","₹ 2.2 Cr
₹ 24,444/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Shilphata,"450 sq.ft.
(42 sq.m.) Carpet Area","₹ 27 L
₹ 6,000/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Shilphata,"450 sq.ft.
(42 sq.m.) Carpet Area","₹ 28 L
₹ 6,222/sq.ft.","1 BHK
2 Baths"
2 BHK Apartment in Shilphata,"740 sq.ft.
(69 sq.m.) Carpet Area","₹ 40 L
₹ 5,405/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Shilphata,"505 sq.ft.
(47 sq.m.) Carpet Area","₹ 28 L
₹ 5,544/sq.ft.","1 BHK
2 Baths"
2 BHK Apartment in Shilphata,"740 sq.ft.
(69 sq.m.) Carpet Area","₹ 41.5 L
₹ 5,608/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Shilphata,"505 sq.ft.
(47 sq.m.) Carpet Area","₹ 29.5 L
₹ 5,841/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Shilphata,"450 sq.ft.
(42 sq.m.) Carpet Area","₹ 34.25 L
₹ 7,611/sq.ft.","1 BHK
2 Baths"
2 BHK Apartment in Shilphata,"750 sq.ft.
(70 sq.m.) Carpet Area","₹ 55 L
₹ 7,333/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Shilphata,"493 sq.ft.
(46 sq.m.) Carpet Area","₹ 41 L
₹ 8,315/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Shilphata,"328 sq.ft.
(30 sq.m.) Carpet Area","₹ 30 L
₹ 9,146/sq.ft.","1 BHK
2 Baths"
2 BHK Apartment in Shilphata,"650 sq.ft.
(60 sq.m.) Carpet Area","₹ 46.15 L
₹ 7,100/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Shilphata,"368 sq.ft.
(34 sq.m.) Carpet Area","₹ 35 L
₹ 9,510/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Shilphata,"384 sq.ft.
(36 sq.m.) Carpet Area","₹ 32.75 L
₹ 8,508/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Shilphata,"368 sq.ft.
(34 sq.m.) Carpet Area","₹ 34.55 L
₹ 9,388/sq.ft.","1 BHK
2 Baths"
2 BHK Apartment in Shilphata,"532 sq.ft.
(49 sq.m.) Carpet Area","₹ 53 L
₹ 9,945/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Shilphata,"51 sq.ft.
(5 sq.m.) Carpet Area","₹ 52.25 L
₹ 102,450/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Shilphata,"975 sq.ft.
(91 sq.m.) Super built-up Area","₹ 54.45 L
₹ 5,584/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Shilphata,"700 sq.ft.
(65 sq.m.) Super built-up Area","₹ 34.85 L
₹ 4,978/sq.ft.","1 BHK
2 Baths"
3 BHK Apartment in Sector-4 Kopar Khairane,"1,450 sq.ft.
(135 sq.m.) Built-up Area","₹ 1.75 Cr
₹ 12,068/sq.ft.","3 BHK
3 Baths"
1 BHK Apartment in Sector 16 Vashi,"570 sq.ft.
(53 sq.m.) Built-up Area","₹ 1.2 Cr
₹ 21,052/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector 17 Vashi,"1,000 sq.ft.
(93 sq.m.) Built-up Area","₹ 1.9 Cr
₹ 19,000/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector-4 Vashi,"550 sq.ft.
(51 sq.m.) Built-up Area","₹ 85 L
₹ 15,454/sq.ft.","1 BHK
1 Bath"
3 BHK Apartment in Sector 9 Nerul,"1,400 sq.ft.
(130 sq.m.) Built-up Area","₹ 2.3 Cr
₹ 16,428/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector 17 Vashi,"850 sq.ft.
(79 sq.m.) Built-up Area","₹ 1.71 Cr
₹ 20,117/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-9A Vashi,"950 sq.ft.
(88 sq.m.) Built-up Area","₹ 1.75 Cr
₹ 18,421/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector-8 Kharghar,"1,400 sq.ft.
(130 sq.m.) Built-up Area","₹ 1.6 Cr
₹ 11,428/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Vashi,"1,000 sq.ft.
(93 sq.m.) Carpet Area","₹ 1.7 Cr
₹ 17,000/sq.ft.","3 BHK
2 Baths"
2 BHK Apartment in Vashi,"1,150 sq.ft.
(107 sq.m.) Built-up Area","₹ 2.5 Cr
₹ 21,739/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sanpada,"650 sq.ft.
(60 sq.m.) Built-up Area","₹ 88 L
₹ 13,538/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Nerul,"480 sq.ft.
(45 sq.m.) Carpet Area","₹ 75 L
₹ 15,625/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector-8 Nerul,"820 sq.ft.
(76 sq.m.) Carpet Area","₹ 1 Cr
₹ 12,195/sq.ft.","2 BHK
1 Bath"
1 BHK Apartment in Sector-20 Nerul,"755 sq.ft.
(70 sq.m.) Carpet Area","₹ 65 L
₹ 8,609/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector-6 Nerul,"1,100 sq.ft.
(102 sq.m.) Built-up Area","₹ 90 L
₹ 6,819/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector-6 Nerul,"550 sq.ft.
(51 sq.m.) Carpet Area","₹ 50 L
₹ 9,091/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector-6 Nerul,"650 sq.ft.
(60 sq.m.) Carpet Area","₹ 1 Cr
₹ 15,384/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector-8 Kharghar,"625 sq.ft.
(58 sq.m.) Super built-up Area","₹ 61 L
₹ 9,760/sq.ft.","1 BHK
2 Baths"
3 BHK Apartment in the springs,"1,800 sq.ft.
(167 sq.m.) Super built-up Area","₹ 1.35 Cr
₹ 7,500/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Panvel,"1,246 sq.ft.
(116 sq.m.) Super built-up Area","₹ 65 L
₹ 5,216/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 19 Ulwe,"250 sq.ft.
(23 sq.m.) Carpet Area","₹ 32 L
₹ 12,800/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Ghansoli,"1,195 sq.ft.
(111 sq.m.) Built-up Area","₹ 1.3 Cr
₹ 10,878/sq.ft.","2 BHK
2 Baths"
5 BHK Apartment in Ghansoli,"3,065 sq.ft.
(285 sq.m.) Super built-up Area","₹ 3.6 Cr
₹ 11,419/sq.ft.","5 BHK
4 Baths"
2 BHK Apartment in Sector-9 Ulwe,"1,350 sq.ft.
(125 sq.m.) Super built-up Area","₹ 1.2 Cr
₹ 8,518/sq.ft.","2 BHK
2 Baths"
4 BHK Apartment in Karave Nagar,"3,400 sq.ft.
(316 sq.m.) Super built-up Area","₹ 7.5 Cr
₹ 18,530/sq.ft.","4 BHK
4 Baths"
3 BHK Apartment in Sector 16A Nerul,"2,074 sq.ft.
(193 sq.m.) Super built-up Area","₹ 4.9 Cr
₹ 23,625/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector 10 Kharghar,"1,250 sq.ft.
(116 sq.m.) Super built-up Area","₹ 1.1 Cr
₹ 8,800/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in CHEMBUR,"1,671 sq.ft.
(155 sq.m.) Super built-up Area","₹ 3.25 Cr
₹ 19,449/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector-30 Belapur,"1,125 sq.ft.
(105 sq.m.) Super built-up Area","₹ 1.45 Cr
₹ 12,888/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-30 Belapur,"13,670 sq.ft.
(1270 sq.m.) Super built-up Area","₹ 1.65 Cr
₹ 1,207/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Mahim West,"1,309 sq.ft.
(122 sq.m.) Super built-up Area","₹ 3.5 Cr
₹ 26,737/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector-9 Ulwe,"422 sq.ft.
(39 sq.m.) Carpet Area","₹ 48 L
₹ 11,374/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector-34B Kharghar,"422 sq.ft.
(39 sq.m.) Carpet Area","₹ 50 L
₹ 11,848/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector-23 Kharghar,"700 sq.ft.
(65 sq.m.) Carpet Area","₹ 1.55 Cr
₹ 22,142/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 20 Kharghar,"1,100 sq.ft.
(102 sq.m.) Carpet Area","₹ 1.1 Cr
₹ 10,000/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 10 Kharghar,"680 sq.ft.
(63 sq.m.) Carpet Area","₹ 65 L
₹ 9,558/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Kharghar,"430 sq.ft.
(40 sq.m.) Carpet Area","₹ 90 L
₹ 20,930/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector-9 Ulwe,"680 sq.ft.
(63 sq.m.) Carpet Area","₹ 61 L
₹ 8,970/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector 12 Kharghar,"720 sq.ft.
(67 sq.m.) Carpet Area","₹ 1.45 Cr
₹ 20,138/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Ulwe,"680 sq.ft.
(63 sq.m.) Carpet Area","₹ 45 L
₹ 6,617/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Ulwe,"1,065 sq.ft.
(99 sq.m.) Carpet Area","₹ 85 L
₹ 7,981/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 17 Ulwe,"720 sq.ft.
(67 sq.m.) Carpet Area","₹ 50 L
₹ 6,944/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector-10/B Ulwe,"1,050 sq.ft.
(98 sq.m.) Carpet Area","₹ 75 L
₹ 7,142/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Kopara,"1,080 sq.ft.
(100 sq.m.) Carpet Area","₹ 1 Cr
₹ 9,259/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 21 Ulwe,"1,265 sq.ft.
(118 sq.m.) Carpet Area","₹ 1.1 Cr
₹ 8,695/sq.ft.","2 BHK
2 Baths"
4 BHK Apartment in Sector 16A Nerul,"4,200 sq.ft.
(390 sq.m.) Super built-up Area","₹ 6.5 Cr
₹ 15,476/sq.ft.","4 BHK
4 Baths"
2 BHK Apartment in Sector 4 Kharghar,"1,080 sq.ft.
(100 sq.m.) Carpet Area","₹ 1.35 Cr
₹ 12,500/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 4 Kharghar,"605 sq.ft.
(56 sq.m.) Carpet Area","₹ 70 L
₹ 11,570/sq.ft.","1 BHK
1 Bath"
3 BHK Apartment in Sector 4 Kharghar,"1,500 sq.ft.
(139 sq.m.) Carpet Area","₹ 1.6 Cr
₹ 10,666/sq.ft.","3 BHK
2 Baths"
3 BHK Apartment in Sector-35G Kharghar,"1,550 sq.ft.
(144 sq.m.) Carpet Area","₹ 1.9 Cr
₹ 12,258/sq.ft.","3 BHK
3 Baths"
